,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
7186,90170,Carla Overbeck (Werden-),F,28.0,170.0,56.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,1
7187,90176,Bettina Overesch-Bker-Hoy,F,21.0,166.0,54.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",1
7188,90179,Emily Overholt,F,18.0,170.0,55.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,1
7189,90180,Amanda Overland,F,24.0,165.0,57.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",1
7190,90185,"Maria Petronella ""Puck"" Oversloot (-Schouten)",F,18.0,170.0,63.219377897990725,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,1
7191,90241,Lily Isabelle Owsley,F,21.0,170.0,70.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,1
7192,90305,Sanja Oegovi (-Gobac),F,21.0,173.0,60.0,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,1
7193,90324,Sibel zkan,F,20.0,155.0,48.0,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Flyweight,1
7194,90333,Elvra Ozolia (-Lse),F,20.0,176.0,67.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's Javelin Throw,1
7195,90382,Erin Pac (-Blumert),F,29.0,170.0,77.0,United States-2,USA,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Women's Two,1
7196,90449,Ann Elizabeth Packer (-Brightwell),F,22.0,169.0,57.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,1
