ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
65467,Kwag Hye-Jeong,F,21,170,65,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,Silver
65477,Michelle Wingshan Kwan (-Pell),F,17,157,49,United States,USA,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Women's Singles,Silver
65477,Michelle Wingshan Kwan (-Pell),F,21,157,49,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Women's Singles,Bronze
65484,"Maria Jadwiga Kwaniewska (-Trytko, -Komiska, -Maleszewska)",F,22,165,56,Poland,POL,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Women's Javelin Throw,Bronze
65528,Kye Sun-Hui,F,16,158,60,North Korea,PRK,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Extra-Lightweight,Gold
65528,Kye Sun-Hui,F,21,158,60,North Korea,PRK,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Lightweight,Bronze
65528,Kye Sun-Hui,F,25,158,60,North Korea,PRK,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Lightweight,Silver
65535,Kaylyn McKenzie Kyle,F,23,173,61,Canada,CAN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Bronze
65539,Anne Maria Kyllnen,F,26,173,61,Finland,FIN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
65564,Olha Oleksandrivna Kyrychenko (-Pankratova),F,16,NA,NA,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
65567,Alena Kyselicov (-Nejzlkov),F,22,165,59,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver
65587,Annie Lilian La Fleur (Burgess-),F,30,167,62,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver
65616,Emma Kriistina Laaksonen-Terho,F,16,159,60,Finland,FIN,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
65616,Emma Kriistina Laaksonen-Terho,F,28,159,60,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
65652,Stephanie Lynn Marie Labb,F,29,178,53,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
65665,"Charline ""Charlie"" Labont",F,23,175,72,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
65665,"Charline ""Charlie"" Labont",F,27,175,72,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
65665,"Charline ""Charlie"" Labont",F,31,175,72,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
65669,Marion Laborde,F,25,178,75,France,FRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Silver
65670,Yurisel Laborde Duanes,F,24,167,78,Cuba,CUB,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Heavyweight,Bronze
65682,"Yanelis Yuliet ""Yanely"" Labrada Daz",F,22,167,49,Cuba,CUB,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Flyweight,Silver
65716,Venus Milette Lacey,F,29,193,86,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
65730,Karen Vilhelmine Lachmann,F,32,NA,NA,Denmark,DEN,1948 Summer,1948,Summer,London,Fencing,"Fencing Women's Foil, Individual",Silver
65730,Karen Vilhelmine Lachmann,F,36,NA,NA,Denmark,DEN,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Women's Foil, Individual",Bronze
65742,Ethel Minnie Lackie (-Watkins),F,17,NA,NA,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 100 metres Freestyle,Gold
65742,Ethel Minnie Lackie (-Watkins),F,17,NA,NA,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
65759,Alexandra Lacrabre,F,29,177,73,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
65786,"Cornelia ""Corrie"" Ladd (-Voogd, -Bakhuizen)",F,16,175,NA,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
65863,"Catharina Bernadetta Jacoba ""Tineke"" Lagerberg",F,19,150,55,Netherlands,NED,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 400 metres Freestyle,Bronze
65934,Jana Lahodov (-Vudmaskov),F,23,157,65,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver
65946,Krista Lhteenmki (-Prmkoski),F,23,160,57,Finland,FIN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
65974,Lai Yawen,F,25,187,77,China,CHN,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver
66011,"Susanne E. ""Susan"" Laird (-Scavey)",F,19,NA,NA,United States,USA,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
66045,Mara Laki,F,25,170,65,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Silver
66114,Tania Lamarca Celada,F,16,158,36,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
66120,Kim Lamarre,F,25,165,54,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,Bronze
66136,Adelaide T. Lambert (-Ballard),F,20,NA,NA,United States,USA,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
66156,Nathalie Brigitte Lambert,F,28,170,65,Canada,CAN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
66156,Nathalie Brigitte Lambert,F,30,170,65,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Silver
66156,Nathalie Brigitte Lambert,F,30,170,65,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Silver
66165,"Dorothea Katherine ""Dorothy"" Lambert Chambers (Douglass-)",F,29,NA,NA,Great Britain,GBR,1908 Summer,1908,Summer,London,Tennis,Tennis Women's Singles,Gold
66214,Kim Lammers,F,31,176,69,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
66219,Sophie Lamon,F,15,173,53,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's epee, Team",Silver
66220,Yevgeniya Alekseyevna Lamonova,F,24,174,62,Russia,RUS,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's Foil, Team",Gold
66233,Jocelyne Nicole Lamoureux,F,20,168,70,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
66233,Jocelyne Nicole Lamoureux,F,24,168,70,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
66235,Monique Edith Lamoureux (-Kolls),F,20,168,70,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
66235,Monique Edith Lamoureux (-Kolls),F,24,168,70,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
66266,Jennifer Frances Lamy (-Frank),F,19,173,60,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 200 metres,Bronze
66298,"Suzanne Ciscele ""Suzie"" Landells (-Dill-Macky)",F,19,162,57,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Individual Medley,Silver
66310,Sigrid Landgraf (-Bartels),F,25,174,62,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Silver
66328,Laurisa Landre,F,30,174,67,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
66337,Ghislaine Landry,F,28,163,65,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
66404,Lang Ping,F,23,184,71,China,CHN,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,Gold
66416,Nancy Jebet Langat,F,26,153,49,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 1,500 metres",Gold
66417,Martha Langbein-Pensberger (-Schreiber),F,19,160,56,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
66432,Marita Lange,F,25,182,85,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Shot Put,Silver
66444,Helen Langehanenberg,F,30,164,48,Germany,GER,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
66456,Lucyna Langer (-Kaek),F,24,167,55,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres Hurdles,Bronze
66535,Sanna Kristiina Lankosaari,F,19,162,63,Finland,FIN,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
