Weight,Medal_Count
"(70.0, 90.0]",19501
"(50.0, 70.0]",5220
"(90.0, 110.0]",3226
"(110.0, 130.0]",359
"(29.999, 50.0]",146
"(130.0, 150.0]",62
"(150.0, 170.0]",14
"(170.0, 190.0]",2
