Age,Medal_Count
"(20.0, 30.0]",7475
"(10.0, 20.0]",2476
"(30.0, 40.0]",1206
"(40.0, 50.0]",82
"(50.0, 60.0]",10
"(60.0, 70.0]",4
"(0.999, 10.0]",0
